actressrank,year,film,winner,home,words,link,image
1,2005,Walk the Line,Reese Witherspoon,Louisiana,436,https://en.wikipedia.org/wiki/Reese_Witherspoon,actress1.jpg
2,2006,The Queen,Helen Mirren,England,192,https://en.wikipedia.org/wiki/Helen_Mirren,actress2.jpg
3,2007,La Vie en Rose,Marion Cotillard,France,72,https://en.wikipedia.org/wiki/Marion_Cotillard,actress3.jpg
4,2008,The Reader,Kate Winslet,England,329,https://en.wikipedia.org/wiki/Kate_Winslet,actress4.jpg
5,2009,The Blind Side,Sandra Bullock,Virginia,469,https://en.wikipedia.org/wiki/Sandra_Bullock,actress5.jpg
6,2010,Black Swan,Natalie Portman,Israel,361,https://en.wikipedia.org/wiki/Natalie_Portman,actress6.jpg
7,2011,The Iron Lady,Meryl Streep,New Jersey,272,https://en.wikipedia.org/wiki/Meryl_Streep,actress7.jpg
8,2012,Silver Linings Playbook,Jennifer Lawrence,Kentucky,118,https://en.wikipedia.org/wiki/Jennifer_Lawrence,actress8.jpg
9,2013,Blue Jasmine,Cate Blanchett,Australia,513,https://en.wikipedia.org/wiki/Cate_Blanchett,actress9.jpg
10,2014,Still Alice,Julianne Moore,North Carolina,324,https://en.wikipedia.org/wiki/Julianne_Moore,actress10.jpg
11,2015,Room,Brie Larson,California,178,https://en.wikipedia.org/wiki/Brie_Larson,actress11.jpg
12,2016,La La Land,Emma Stone,Arizona,294,https://en.wikipedia.org/wiki/Emma_Stone,actress12.jpg
13,2017,"Three Billboards outside Ebbing, Missouri",Frances McDormand,Illinois,264,https://en.wikipedia.org/wiki/Frances_McDormand,actress13.jpg
14,2018,The Favourite,Olivia Colman,England,318,https://en.wikipedia.org/wiki/Olivia_Colman,actress14.jpg
15,2019,Judy,Renée Zellweger,Texas,434,https://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger,actress15.jpg
16,2020,Nomadland,Frances McDormand,Illinois,62,https://en.wikipedia.org/wiki/Frances_McDormand,actress16.jpg
17,2021,The Eyes of Tammy Faye,Jessica Chastain,California,417,https://en.wikipedia.org/wiki/Jessica_Chastain,actress17.jpg
18,2022,Everything Everywhere All at Once,Michelle Yeoh,Malaysia,215,https://en.wikipedia.org/wiki/Michelle_Yeoh,actress18.jpg
19,2023,Poor Things,Emma Stone,Arizona,332,https://en.wikipedia.org/wiki/Emma_Stone,actress19.jpg
20,2024,Anora,Mikey Madison,California,206,https://en.wikipedia.org/wiki/Mikey_Madison,actress20.jpg